Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
MFSD14B		9	9	3535	0.3%	No
USP38		15	15	4111	0.4%	No
AMOT		24	22	4076	0.5%	No
TTC24		11	11	3488	0.3%	No
OR14J1		3	3	2099	0.1%	No
DNTT		30	29	4111	0.7%	No
OR10C1		12	12	3129	0.4%	No
TNRC18		64	62	4390	1.4%	No
NTNG2		12	12	3372	0.4%	No
NUDT17		6	6	3609	0.2%	No
MUC5B		168	153	4421	3.5%	No
SLC17A7		22	22	4071	0.5%	No
DNMT3B		40	40	7178	0.6%	Yes
GPR174		17	17	3825	0.4%	No
DNMT3A		93	84	7488	1.1%	Yes
TRDMT1		11	11	3688	0.3%	No
DNMT1		78	77	7393	1.0%	Yes
DNM2		22	22	4011	0.5%	Yes
RSRP1		9	9	3202	0.3%	No
AFAP1L2		16	16	3504	0.5%	No
SLITRK2		48	46	4178	1.1%	No
C14ORF93		17	17	3327	0.5%	No
DYNC1LI2		17	17	3898	0.4%	No
ANKMY2		7	7	3102	0.2%	No
ZFAND3		6	6	1385	0.4%	No
KISS1R		2	2	423	0.5%	No
RARS2		18	18	4011	0.4%	No
TRAPPC11		21	21	3184	0.7%	No
SMAP1		16	16	3030	0.5%	No
TTBK1		36	36	4204	0.9%	No
FKBP10		8	8	3691	0.2%	No
CELF5		5	5	1519	0.3%	No
DGKK		1	1	216	0.5%	No
TWSG1		7	7	2390	0.3%	No
USP32		50	42	4330	1.0%	No
FAM126A		6	6	2364	0.3%	No
DPAGT1		13	13	3588	0.4%	No
DXO		9	9	3318	0.3%	No
DOK1		9	9	2865	0.3%	No
MYPN		42	39	3900	1.0%	No
DOCK3		51	46	4028	1.1%	No
PLSCR2		15	15	4011	0.4%	No
DOCK2		52	47	4116	1.1%	No
PLSCR3		4	4	1082	0.4%	No
HES7		1	1	237	0.4%	No
DOCK1		40	38	3521	1.1%	No
RETNLB		9	9	3609	0.2%	No
CCDC62		23	19	3977	0.5%	No
GLIS2		3	3	1759	0.2%	No
CHRNA10		14	14	3372	0.4%	No
UTP3		13	12	2944	0.4%	No
ZBTB49		25	25	3588	0.7%	No
ADGRE3		30	30	4111	0.7%	No
RNASE7		7	7	3318	0.2%	No
TBX20		18	18	3825	0.5%	No
SPZ1		4	4	1883	0.2%	No
GLYR1		34	34	3825	0.9%	No
EBPL		4	4	3372	0.1%	No
P3H3		2	2	1166	0.2%	No
RNASEH2A		13	10	3372	0.3%	No
STXBP4		6	5	1883	0.3%	No
BATF		5	5	1519	0.3%	No
UBD		1	1	186	0.5%	No
GLRX3		4	4	2390	0.2%	No
PITRM1		36	34	3993	0.9%	No
ZNRD2		4	3	2099	0.1%	No
ATG7		20	20	3372	0.6%	No
TMEM239		1	1	982	0.1%	No
PRDX4		3	3	2865	0.1%	No
FNDC5		3	3	316	0.9%	No
TM9SF1		18	17	3925	0.4%	No
MARCHF11		6	6	2153	0.3%	No
ANP32B		10	10	2990	0.3%	No
TXLNA		11	11	3421	0.3%	No
DCTN2		12	12	2965	0.4%	No
PROCR		15	15	3558	0.4%	No
PRR23D1		1	1	216	0.5%	No
MYBBP1A		24	21	3548	0.6%	No
APPBP2		14	14	4011	0.3%	No
FBLN5		4	4	1883	0.2%	No
CIB2		5	5	2234	0.2%	No
FBXW10		31	30	3795	0.8%	No
CIB1		1	1	1066	<0.1%	No
SEMA3C		28	26	4011	0.6%	No
FAM27C		1	1	1066	<0.1%	No
CUEDC1		7	7	3609	0.2%	No
TUSC1		1	1	237	0.4%	No
HYOU1		28	28	3653	0.8%	No
OPRPN		6	6	3475	0.2%	No
KAT5		3	3	1303	0.2%	No
IPO7		16	14	2720	0.5%	No
ARHGAP22		13	12	2172	0.6%	No
IPO8		34	25	4076	0.6%	No
NEBL		27	27	3993	0.7%	No
NOP56		14	14	3942	0.4%	No
ZNF250		12	12	2692	0.4%	No
DDX17		14	14	3688	0.4%	No
ZNF211		7	7	3437	0.2%	No
SCAF1		19	18	3504	0.5%	No
CHERP		18	17	3825	0.4%	No
CACTIN		23	21	3928	0.5%	No
KMT2C		1087	949	10475	9.1%	Yes
DEAF1		16	15	3372	0.4%	No
TMEM150C		8	8	3051	0.3%	No
OR2A2		1	1	1066	<0.1%	No
EPS15L1		12	11	3318	0.3%	No
SINHCAF		8	8	3725	0.2%	No
GPAT3		5	5	2968	0.2%	No
SELENOK		3	3	2865	0.1%	No
PRODH2		16	16	3825	0.4%	No
DLGAP3		12	12	3890	0.3%	No
DNASE2B		7	7	2925	0.2%	No
PAQR7		3	3	1405	0.2%	No
SMIM9		1	1	186	0.5%	No
RBM25		30	29	3963	0.7%	No
ZCWPW2		16	16	3588	0.4%	No
WIZ		34	34	4290	0.8%	No
DMRT3		9	9	3825	0.2%	No
SEMA4F		38	37	4111	0.9%	No
ABRACL		3	3	160	1.9%	No
MID1IP1		1	1	817	0.1%	No
SEMA4D		29	29	3658	0.8%	No
SEMA4B		15	15	3418	0.4%	No
MYOZ1		13	13	3825	0.3%	No
GOLGA8DP		1	1	982	0.1%	No
RRAGD		9	9	3372	0.3%	No
SEMA6B		8	8	1368	0.6%	No
SEMA6C		23	21	3825	0.5%	No
LY6G6D		6	6	2120	0.3%	No
RTN4IP1		6	6	3472	0.2%	No
IL17RC		10	10	3825	0.3%	No
TXNDC17		2	2	453	0.4%	No
LMNB2		11	11	3102	0.4%	No
ATP10D		44	41	4023	1.0%	No
C4ORF47		8	8	3202	0.2%	No
MPP4		13	13	3488	0.4%	No
FCRLA		10	10	2436	0.4%	No
PRM3		4	4	3081	0.1%	No
SNX6		12	12	3609	0.3%	No
ZNF248		14	12	2385	0.5%	No
PERM1		7	6	2075	0.3%	No
SLC45A4		14	14	3712	0.4%	No
MFSD9		9	9	3372	0.3%	No
NFKBID		4	4	1269	0.3%	No
THAP11		7	7	2925	0.2%	No
PLCD4		21	18	3418	0.5%	No
VANGL2		29	29	3691	0.8%	No
BUD13		5	4	3051	0.1%	No
TTC7A		24	24	3432	0.7%	No
PLPP7		11	11	3777	0.3%	No
ADGRG6		20	19	3825	0.5%	No
LOH12CR2		1	1	186	0.5%	No
SPRYD7		4	4	2865	0.1%	No
CEMIP		32	32	4055	0.8%	No
PAPPA-AS1		1	1	186	0.5%	No
PHOSPHO2		6	6	2865	0.2%	No
OR13D1		8	8	3432	0.2%	No
PPP1R3G		4	3	423	0.7%	No
ZNF837		6	6	3825	0.2%	No
ZNF727		18	16	3378	0.5%	No
HAPLN4		2	2	1169	0.2%	No
FOXD4L3		6	6	2865	0.2%	No
STPG4		5	5	2965	0.2%	No
SCGN		2	2	1573	0.1%	No
SMC2		21	21	3990	0.5%	No
TMEM178A		6	6	3588	0.2%	No
RFLNB		3	3	2865	0.1%	No
PRPF8		59	58	4104	1.4%	No
ERN2		26	25	4011	0.6%	No
AHSA1		9	8	3372	0.2%	No
TRAPPC2B		5	5	2865	0.2%	No
SLCO1B1		22	22	3834	0.6%	No
TLCD2		1	1	186	0.5%	No
LRIT3		17	17	3504	0.5%	No
CPO		2	2	1303	0.2%	No
GOLGA8Q		1	1	1066	<0.1%	No
DPYSL4		9	9	3958	0.2%	No
TOP1MT		8	8	1466	0.5%	No
CLNK		15	15	3898	0.4%	No
OLIG1		1	1	116	0.9%	No
C16ORF90		2	2	1282	0.2%	No
TACC2		88	66	4169	1.6%	No
MARCHF3		4	4	2968	0.1%	No
SIVA1		2	2	1054	0.2%	No
CCT7		12	12	3116	0.4%	No
MRPL28		5	5	1589	0.3%	No
CCT2		24	21	3712	0.6%	No
CCT4		10	10	3162	0.3%	No
GNLY		5	5	2865	0.2%	No
IFITM2		5	5	2865	0.2%	No
FAM78A		6	6	2013	0.3%	No
SORBS1		35	35	4111	0.9%	No
HAUS1		6	6	3774	0.2%	No
GRIN3A		39	39	3804	1.0%	No
SLC26A7		14	14	1770	0.8%	No
RAB39B		19	15	3688	0.4%	No
GRIN3B		15	15	3928	0.4%	No
NKAIN4		4	4	507	0.8%	No
POMT1		19	18	3418	0.5%	No
COLEC10		8	8	4011	0.2%	No
TXNRD2		9	9	3167	0.3%	No
MAB21L2		18	14	3941	0.4%	No
DRAP1		2	2	1303	0.2%	No
MTHFS		6	6	2543	0.2%	No
LURAP1L		4	4	2968	0.1%	No
ALKAL2		4	4	3372	0.1%	No
SPTLC1		17	17	3825	0.4%	No
RPP38		10	10	3712	0.3%	No
SLC35A1		11	11	3709	0.3%	No
ARL6IP5		3	3	2865	0.1%	No
ARPC1A		9	9	3372	0.3%	No
AGPAT1		7	7	3609	0.2%	No
HTATIP2		6	6	2865	0.2%	No
BHLHE23		2	2	237	0.8%	No
RPP30		10	10	3558	0.3%	No
AGPAT2		4	4	1622	0.2%	No
CCDC141		21	21	3928	0.5%	No
SLU7		17	16	3421	0.5%	No
SMKR1		1	1	237	0.4%	No
SLC34A2		26	25	3772	0.7%	Yes
IFI44		24	23	3774	0.6%	No
SLC19A2		13	13	3885	0.3%	No
OLFM4		19	18	4111	0.4%	No
ARFGEF1		71	62	4071	1.5%	No
ARFGEF2		43	42	4176	1.0%	No
RABAC1		5	5	3081	0.2%	No
STX16-NPEPL1		1	1	982	0.1%	No
AKAP3		30	30	3988	0.8%	No
OR13C9		14	14	3472	0.4%	No
SHISAL2B		1	1	982	0.1%	No
CNTNAP5		61	55	4111	1.3%	No
ACTR3B		15	15	3588	0.4%	No
TAF8		2	2	1883	0.1%	No
NIPAL3		6	6	2336	0.3%	No
RALGAPA2		37	32	3925	0.8%	No
SLC26A8		9	9	2622	0.3%	No
THOC2		45	40	4171	1.0%	No
ADAMTSL3		59	57	4114	1.4%	No
SLC39A10		10	10	3268	0.3%	No
ANKRD50		29	27	4076	0.7%	No
SYTL5		15	13	3340	0.4%	No
SYTL4		14	14	4011	0.3%	No
FAM219B		7	7	3372	0.2%	No
SYTL3		13	13	3102	0.4%	No
LYPD1		3	3	2234	0.1%	No
DENND11		15	15	3874	0.4%	No
DDX59		10	10	3318	0.3%	No
IL22RA2		9	9	3372	0.3%	No
LYPLAL1		9	9	2968	0.3%	No
ARHGAP24		26	24	3839	0.6%	No
KATNAL2		11	11	3267	0.3%	No
DOHH		3	3	1282	0.2%	No
SELENON		3	3	1382	0.2%	No
VN1R1		4	4	2148	0.2%	No
PIFO		4	4	2930	0.1%	No
C1ORF162		4	4	2120	0.2%	No
DCLK2		24	20	3588	0.6%	No
ATP8B2		43	39	4011	1.0%	No
MCOLN1		23	23	3825	0.6%	No
ATP10A		56	56	4174	1.3%	No
GLT8D2		9	9	3774	0.2%	No
C19ORF48		3	3	1883	0.2%	No
FAM220A		8	8	2792	0.3%	No
CDCA3		5	5	2843	0.2%	No
DRAM2		1	1	216	0.5%	No
APH1B		11	10	3748	0.3%	No
PYROXD2		13	11	3081	0.4%	No
MXD3		4	4	1282	0.3%	No
EMC6		1	1	237	0.4%	No
TUBA1C		17	17	3588	0.5%	No
RUNDC3B		13	13	3753	0.3%	No
ABCA13		146	133	4390	3.0%	No
ADGRA3		48	46	3885	1.2%	No
C1ORF194		9	9	3372	0.3%	No
TMEM167A		11	11	3588	0.3%	No
SLC26A9		41	35	3537	1.0%	No
ATXN7L2		18	17	4053	0.4%	No
SLC34A3		10	10	3609	0.3%	No
FAM229A		2	1	216	0.5%	No
NT5C3B		6	6	3372	0.2%	No
DUSP19		14	13	3146	0.4%	No
MIB2		17	16	3526	0.5%	No
RP1L1		55	54	4227	1.3%	No
GNAT3		5	5	3372	0.1%	No
DPYSL3		24	24	3046	0.8%	No
PANX3		10	10	2865	0.3%	No
SLC25A48		5	5	2865	0.2%	No
ARHGAP12		29	29	3985	0.7%	No
DPEP1		14	14	3372	0.4%	No
RAB40A		13	13	3475	0.4%	No
ITLN2		17	15	3475	0.4%	No
ASB14		6	6	3372	0.2%	No
ASB15		10	10	3372	0.3%	No
GLIPR2		3	3	1403	0.2%	No
RNF38		10	10	3795	0.3%	No
DPYSL2		10	10	3372	0.3%	No
DPYS		15	15	3693	0.4%	No
PLVAP		22	20	3162	0.6%	No
ASB12		6	6	1759	0.3%	No
DPYD		17	17	4095	0.4%	No
DPT		9	9	3318	0.3%	No
XXYLT1		12	12	3481	0.3%	No
DPP6		35	32	4214	0.8%	No
PUS3		1	1	216	0.5%	No
DPP4		30	29	4028	0.7%	No
DPH2		11	11	2968	0.4%	No
SCRT1		3	3	1303	0.2%	No
DPH1		4	4	2792	0.1%	No
EPPK1		48	45	4174	1.1%	No
OR2M3		17	17	933	1.8%	No
MSANTD1		3	3	1435	0.2%	No
OR2T10		16	15	3774	0.4%	No
METTL6		1	1	1066	<0.1%	No
ABCC12		41	40	4233	0.9%	No
OR2T34		23	23	3588	0.6%	No
OR14C36		19	19	3825	0.5%	No
RHOXF2B		9	9	3081	0.3%	No
OR2T12		16	16	3607	0.4%	No
SLC26A3		26	24	3998	0.6%	No
DR1		2	2	1883	0.1%	No
GXYLT2		3	3	2264	0.1%	No
DRG2		7	7	3318	0.2%	No
DRD5		15	15	3070	0.5%	No
DRD4		5	5	3609	0.1%	No
C9ORF92		6	4	2015	0.2%	No
DRD3		6	6	3588	0.2%	No
DRD2		9	9	3607	0.2%	No
DRD1		10	10	3526	0.3%	No
TATDN3		5	5	2865	0.2%	No
OR2M5		9	9	2843	0.3%	No
ATN1		72	71	4127	1.7%	No
DRP2		18	16	3877	0.4%	No
ARID3A		7	4	2965	0.1%	Yes
DSG2		14	14	3418	0.4%	No
DSG1		17	17	3874	0.4%	No
RTP5		5	5	3102	0.2%	No
RCAN1		2	2	1131	0.2%	No
DSCAM		48	47	3824	1.2%	No
DSC3		19	17	3795	0.4%	No
DSC2		38	28	3825	0.7%	No
DSC1		24	23	3496	0.7%	No
GATD1		1	1	1066	<0.1%	No
TNFSF12-TNFSF13		8	8	2865	0.3%	No
OR6K6		10	10	2390	0.4%	No
OR6N1		10	10	2687	0.4%	No
EPYC		13	13	3421	0.4%	No
DSP		83	72	4176	1.7%	No
TSC22D3		12	11	3588	0.3%	No
DSG3		32	32	4095	0.8%	No
HBEGF		3	3	1983	0.2%	No
DTNB		20	20	3712	0.5%	No
OR2A1		2	2	1066	0.2%	No
DTNA		8	8	3418	0.2%	No
SLC26A2		8	6	3141	0.2%	No
TBX10		5	5	2865	0.2%	No
OR2A12		7	7	2499	0.3%	No
DSPP		40	38	4011	0.9%	No
OR6P1		27	23	3890	0.6%	No
OR10X1		8	8	3418	0.2%	No
OR10Z1		21	21	2843	0.7%	No
MROH1		13	13	3609	0.4%	No
OR10T2		11	11	2843	0.4%	No
DUSP2		3	3	2865	0.1%	Yes
DUSP1		4	4	3051	0.1%	No
ECM2		20	20	3609	0.6%	No
DTYMK		3	3	2865	0.1%	No
DTX1		20	20	3609	0.6%	Yes
CLLU1		1	1	100	1.0%	No
DUSP7		12	12	3713	0.3%	No
OR6V1		9	8	3558	0.2%	No
DUSP6		9	9	4030	0.2%	No
DUSP5		2	2	453	0.4%	No
DUSP4		11	11	4343	0.3%	Yes
DUSP3		1	1	65	1.5%	No
TMEM161B		16	15	3609	0.4%	No
HDGFL2		13	13	4011	0.3%	No
HFM1		22	22	3709	0.6%	No
DVL1		12	12	3825	0.3%	No
CYSLTR2		13	13	5004	0.3%	Yes
DUT		3	3	2285	0.1%	No
NAT14		2	2	1219	0.2%	No
PDSS2		8	8	3146	0.3%	No
PRRC2B		76	71	4274	1.7%	No
DUSP9		10	10	3609	0.3%	Yes
PLEKHA8		14	14	3688	0.4%	No
ANO2		31	31	4093	0.8%	No
PIGO		23	22	3504	0.6%	No
C12ORF4		12	12	4011	0.3%	No
DUSP8		1	1	1066	<0.1%	No
TIGAR		11	11	2865	0.4%	No
PSRC1		3	3	2015	0.1%	No
PNPLA2		7	7	3504	0.2%	No
DYRK1A		40	35	4114	0.9%	No
REXO4		4	4	1592	0.3%	No
DVL3		9	9	3609	0.2%	No
DVL2		5	5	1519	0.3%	No
MGARP		10	10	3488	0.3%	No
PLAAT1		4	4	1573	0.3%	No
RAB25		7	7	3372	0.2%	No
GPT2		15	15	3558	0.4%	No
GTPBP3		20	20	4011	0.5%	No
LNX1		23	23	3825	0.6%	No
BEX2		5	5	3081	0.2%	No
ZNF695		23	23	4011	0.6%	No
INTS12		15	15	3575	0.4%	No
CAMK1D		7	7	3202	0.2%	No
EPPIN		4	4	2865	0.1%	No
TOR1A		9	9	3588	0.3%	No
TRPC7		35	34	4214	0.8%	No
PGLYRP4		8	8	3707	0.2%	No
E2F1		21	21	3588	0.6%	No
C3ORF22		4	4	2390	0.2%	No
GPR183		5	5	3070	0.2%	No
GOPC		9	9	2865	0.3%	Yes
LPAR5		3	3	1282	0.2%	No
NUP107		52	48	4292	1.1%	No
FBXO15		10	10	3588	0.3%	No
E4F1		16	13	2865	0.5%	No
RHBG		9	9	2865	0.3%	No
E2F6		5	5	2865	0.2%	No
LYRM4		5	5	2865	0.2%	No
FCRL4		21	18	3499	0.5%	Yes
MRPL47		8	8	2965	0.3%	No
E2F5		8	8	2943	0.3%	No
E2F4		26	25	4093	0.6%	No
FCRL5		48	47	3977	1.2%	No
UNC119B		11	11	3437	0.3%	No
DYNLT5		10	10	3609	0.3%	No
CD248		25	25	4114	0.6%	No
E2F3		21	18	6892	0.3%	Yes
PLXDC1		12	12	3609	0.3%	No
E2F2		3	3	2048	0.1%	No
SLC66A1L		3	3	2865	0.1%	No
EBF1		25	25	4050	0.6%	Yes
OR2T4		6	6	1573	0.4%	No
LINC01545		8	8	116	6.9%	No
ECH1		5	5	2857	0.2%	No
ATP13A1		21	21	3588	0.6%	No
TYMP		6	6	2222	0.3%	No
CHMP1B		1	1	1066	<0.1%	No
SPSB2		4	4	2865	0.1%	No
OR2T11		13	13	3925	0.3%	No
CNDP1		30	28	3925	0.7%	No
RGL3		13	13	3825	0.3%	No
FAM167B		9	9	3609	0.2%	No
RAB12		6	6	3146	0.2%	No
CCDC124		2	2	1282	0.2%	No
MAN1C1		1	1	1066	<0.1%	No
APMAP		18	18	3202	0.6%	No
CBX2		3	3	1168	0.3%	No
ELOVL3		14	14	3609	0.4%	No
ECE1		36	31	3825	0.8%	No
PLEKHB1		6	6	2865	0.2%	No
SQOR		15	15	3669	0.4%	No
RTN4		25	25	2943	0.8%	No
ADCK1		11	11	3688	0.3%	No
MS4A7		3	3	1166	0.3%	No
PAK5		51	51	7418	0.7%	Yes
RNPEPL1		11	9	3107	0.3%	No
TRIM51		20	20	4028	0.5%	No
TCF7L1		7	7	3081	0.2%	No
EDA		8	8	3588	0.2%	No
MPV17L2		2	2	1799	0.1%	No
SRPRB		10	10	3372	0.3%	No
ECT2		31	31	3804	0.8%	No
TP53INP2		6	5	3184	0.2%	No
TMEM159		3	3	1519	0.2%	No
ECM1		21	20	3748	0.5%	No
SCYL3		28	28	4111	0.7%	No
CRACR2A		12	10	3825	0.3%	No
RALGAPB		52	40	3928	1.0%	No
ENOPH1		6	6	3372	0.2%	No
ZNF577		8	7	3372	0.2%	No
PLD5		30	29	3688	0.8%	No
ECHS1		2	2	1573	0.1%	No
ROPN1B		16	16	3669	0.4%	No
NLRC4		46	43	3925	1.1%	No
SLURP1		3	3	523	0.6%	No
SLC44A2		16	15	3925	0.4%	No
SMURF1		16	16	3318	0.5%	No
ZBED5		21	21	3925	0.5%	No
UBXN2A		7	7	2865	0.2%	No
TRIM60		15	15	3693	0.4%	No
TRAPPC1		6	6	3372	0.2%	No
RHOU		3	3	281	1.1%	No
USP30		1	1	1066	<0.1%	No
SMIM8		2	2	1883	0.1%	No
LYZL6		4	4	3372	0.1%	No
PCGF1		6	5	2336	0.2%	No
TMEM63C		18	18	3609	0.5%	No
PCTP		7	7	2285	0.3%	No
PHTF2		26	26	4028	0.6%	No
CREBZF		7	7	3825	0.2%	No
B3GNT9		6	6	3609	0.2%	No
SPAG17		55	51	3942	1.3%	No
JPH2		12	12	2813	0.4%	No
TRIM54		8	8	3378	0.2%	No
ABHD17C		3	3	2264	0.1%	No
FUT10		3	3	2390	0.1%	No
SPANXN3		5	5	1282	0.4%	No
SLITRK4		30	24	3839	0.6%	No
PAXBP1		33	31	3418	0.9%	No
ORMDL3		8	8	3609	0.2%	No
TGS1		45	41	3588	1.1%	No
TMEM203		1	1	103	1.0%	No
OVOL2		4	4	3051	0.1%	No
JAM2		3	3	1282	0.2%	No
GJC2		5	5	2285	0.2%	No
PRUNE1		19	19	3825	0.5%	No
LY6G5B		3	3	1759	0.2%	No
ZNF71		16	16	3588	0.4%	No
ORMDL1		6	6	3102	0.2%	No
RPRD1B		17	17	4011	0.4%	No
PELI2		23	23	4011	0.6%	No
INIP		3	3	2048	0.1%	No
PELI1		8	8	3372	0.2%	No
ZNF77		16	16	3774	0.4%	No
ZNF462		65	58	4395	1.3%	No
SALL4		25	22	3267	0.7%	Yes
ASPHD2		14	14	2865	0.5%	No
MYL7		4	4	3081	0.1%	No
ZNFX1		48	47	4127	1.1%	No
SLFNL1		10	10	1335	0.7%	No
KMT5C		6	6	2252	0.3%	No
ABHD11		3	3	2120	0.1%	No
DRC3		13	13	3434	0.4%	No
RAB33B		1	1	1066	<0.1%	No
MBLAC2		3	3	2865	0.1%	No
CORO1B		6	6	3081	0.2%	No
VARS2		13	13	3504	0.4%	No
DOLPP1		8	8	3102	0.3%	No
CAMK1G		21	20	3734	0.5%	No
PUS7L		13	13	3825	0.3%	No
NAA11		7	7	2364	0.3%	No
CRTC2		18	18	3985	0.5%	No
SLC25A31		9	9	3504	0.3%	No
KRTCAP2		2	2	982	0.2%	No
PMFBP1		41	41	3688	1.1%	No
ZMIZ1		31	31	3825	0.8%	No
INO80B		2	2	2048	<0.1%	No
ZNF607		9	9	3051	0.3%	No
MAGEC3		25	25	3472	0.7%	No
KIAA1191		16	16	3588	0.4%	No
SF3B5		3	3	2865	0.1%	No
CCDC70		4	4	1403	0.3%	No
GSG1		3	3	453	0.7%	No
ADPGK		12	12	3475	0.3%	No
SH3BGRL3		4	4	332	1.2%	No
MFSD3		14	14	3558	0.4%	No
FLYWCH2		3	3	237	1.3%	No
KRTAP12-2		2	2	1126	0.2%	No
ANKRD37		6	6	3151	0.2%	No
WDR31		8	8	3102	0.3%	No
KHDRBS1		11	11	3847	0.3%	No
SLC44A3		6	6	3437	0.2%	No
KHDRBS3		9	9	3609	0.2%	No
CELF2		27	27	4050	0.7%	No
CELF1		12	12	3588	0.3%	No
VASN		12	12	3432	0.3%	No
ZNF618		26	26	4011	0.6%	No
RNF187		1	1	186	0.5%	No
MTX2		10	10	3674	0.3%	No
SPINT2		1	1	237	0.4%	No
STAC2		13	13	3928	0.3%	No
YKT6		6	4	2120	0.2%	No
DMRT2		9	9	2865	0.3%	No
KRTAP27-1		4	4	2968	0.1%	No
PMVK		9	9	3372	0.3%	No
SVOPL		10	10	3184	0.3%	No
CRACDL		12	11	3423	0.3%	No
KRTAP12-1		2	2	1303	0.2%	No
KRTAP10-10		4	4	2167	0.2%	No
CGRRF1		5	5	2730	0.2%	No
FARS2		11	9	3372	0.3%	No
CGREF1		1	1	216	0.5%	No
LBX1		5	5	3318	0.2%	No
RFX8		9	9	3318	0.3%	No
KLF1		2	2	453	0.4%	No
CTCF		208	205	10376	2.0%	Yes
CXCR6		5	5	3081	0.2%	No
CD226		12	12	3372	0.4%	No
TSBP1		20	18	3073	0.6%	No
MTPN		3	3	2048	0.1%	No
KRT28		25	25	3890	0.6%	No
FAM43B		2	2	1282	0.2%	No
GPR141		18	12	2930	0.4%	No
RAD51AP1		10	10	3653	0.3%	No
RNFT2		9	9	3825	0.2%	No
GAS2L1		4	4	2865	0.1%	No
CEP89		14	14	3674	0.4%	No
PYHIN1		32	32	3890	0.8%	No
LEFTY1		3	3	1810	0.2%	No
RGS14		14	14	3609	0.4%	No
NFATC2IP		4	4	1401	0.3%	No
PTPMT1		1	1	100	1.0%	No
POSTN		19	19	3795	0.5%	No
ZFP62		16	14	2622	0.5%	No
PDPN		1	1	60	1.7%	No
PGA3		3	3	1883	0.2%	No
RASL10A		4	4	216	1.9%	No
ATP5MG		5	5	2965	0.2%	No
ADPRHL1		7	7	2865	0.2%	No
SPATA45		3	3	2865	0.1%	No
ZNF233		17	17	3791	0.4%	No
CAMKK2		14	14	3825	0.4%	No
SCGB1D1		1	1	186	0.5%	No
SCGB1D2		4	4	453	0.9%	No
C1ORF74		6	6	3081	0.2%	No
TSGA13		14	14	2843	0.5%	No
EXOC5		10	10	3712	0.3%	No
LRGUK		31	25	3874	0.6%	No
IGF2BP1		9	9	3825	0.2%	No
NPRL2		6	6	2930	0.2%	No
IGF2BP2		23	20	3774	0.5%	No
AGAP9		2	2	1799	0.1%	No
IGF2BP3		12	12	3985	0.3%	No
PPP1R15B		24	24	3890	0.6%	No
P3H4		8	8	3318	0.2%	No
LRP11		3	3	2264	0.1%	No
TEX43		1	1	186	0.5%	No
ZNF587		31	31	3588	0.9%	No
CLEC18B		16	16	3609	0.4%	No
UTP4		18	18	3623	0.5%	No
ERLIN1		6	6	3081	0.2%	No
FIZ1		10	10	3486	0.3%	No
TRIM3		13	13	3427	0.4%	No
SPAG5		35	34	4076	0.8%	No
ZNF566		9	9	3206	0.3%	No
HEXIM1		5	5	2467	0.2%	No
FAM104A		7	7	2036	0.3%	No
STAMBP		13	13	3825	0.3%	No
RBCK1		4	4	1519	0.3%	No
ALG10		13	13	3753	0.3%	No
TTC8		3	3	2285	0.1%	No
TGOLN2		4	4	2172	0.2%	No
TIFAB		5	5	3475	0.1%	No
CTAGE9		17	15	3609	0.4%	No
TMPPE		5	3	1983	0.2%	No
PDLIM5		8	8	2388	0.3%	No
ST6GALNAC2		13	12	3669	0.3%	No
FAM136A		4	4	2965	0.1%	No
TICAM2		2	2	982	0.2%	No
OR6C1		5	5	2627	0.2%	No
OR6C75		3	3	877	0.3%	No
AOPEP		25	23	3609	0.6%	No
ARHGEF39		14	14	3588	0.4%	No
OR6C76		13	12	2099	0.6%	No
OR6C70		13	13	3432	0.4%	No
ZNF341		13	13	3432	0.4%	No
ZNF382		10	8	2930	0.3%	No
POLR3C		19	19	3925	0.5%	No
TMEM87B		15	15	3372	0.4%	No
TRIM16		3	3	1384	0.2%	No
SLC35B4		18	18	3725	0.5%	No
IVNS1ABP		22	22	4011	0.5%	No
TXNIP		15	13	3319	0.4%	No
MYL12A		15	9	3472	0.3%	No
TAF6L		10	10	3504	0.3%	No
SLFN14		34	30	3669	0.8%	No
ARID3B		17	17	3588	0.5%	Yes
TUBA3FP		1	1	982	0.1%	No
POLR3G		3	3	1066	0.3%	No
POLR3F		12	12	3985	0.3%	No
SDSL		9	9	2884	0.3%	No
ZNRF1		7	7	3372	0.2%	No
GUCD1		4	4	1883	0.2%	No
CCM2		14	14	2908	0.5%	No
ZFYVE19		12	12	2865	0.4%	No
PWWP3A		8	8	2036	0.4%	No
C18ORF21		2	2	1252	0.2%	No
AMMECR1L		13	13	3546	0.4%	No
ATG4C		8	8	2606	0.3%	No
MAEL		24	23	3890	0.6%	No
KAT14		38	24	4076	0.6%	No
CCDC12		6	6	3102	0.2%	No
PBXIP1		22	21	3795	0.6%	No
EIF4E3		1	1	237	0.4%	No
LTV1		12	12	3895	0.3%	No
ABHD13		14	14	2930	0.5%	No
CORO6		9	9	3081	0.3%	No
ARHGEF37		14	14	3488	0.4%	No
WDR73		8	8	3928	0.2%	No
HSH2D		1	1	216	0.5%	No
MSGN1		8	8	3372	0.2%	No
FIBCD1		8	8	3081	0.3%	No
PROB1		9	9	2026	0.4%	No
FAM149B1		14	14	3825	0.4%	No
NXF3		22	21	3804	0.6%	No
SPRYD3		15	15	3288	0.5%	No
SLC49A4		14	14	3795	0.4%	No
TMEM209		21	19	3748	0.5%	No
CDC42EP3		3	3	2048	0.1%	No
